SOCcode1,SOCcode2,modOfMod
6124,7129,0.03769592510122538
7129,6124,-0.03769592510122538
6124,9235,0.016658749124789398
9235,6124,-0.016658749124789398
6124,5419,-0.012047900035449722
5419,6124,0.012047900035449722
6124,3416,0.06549516018433096
3416,6124,-0.06549516018433096
6124,6124,0.0
3414,9249,-0.06751602015941059
9249,3414,0.06751602015941059
3414,1141,0.03723845668081676
1141,3414,-0.03723845668081676
3414,4132,-0.03992388335546666
4132,3414,0.03992388335546666
3414,9121,0.003331854093867919
9121,3414,-0.003331854093867919
3414,7129,0.004486523509897407
7129,3414,-0.004486523509897407
3414,9235,-0.016550652466538578
9235,3414,0.016550652466538578
3414,5419,-0.0452573016267777
5419,3414,0.0452573016267777
3414,3416,0.03228575859300299
3416,3414,-0.03228575859300299
3414,6124,-0.03320940159132798
6124,3414,0.03320940159132798
3414,3414,0.0
3415,9249,-0.07592223056999
9249,3415,0.07592223056999
3415,1141,0.02883224627023734
1141,3415,-0.02883224627023734
3415,4132,-0.048330093766046085
4132,3415,0.048330093766046085
3415,9121,-0.005074356316711503
9121,3415,0.005074356316711503
3415,7129,-0.0039196869006820146
7129,3415,0.0039196869006820146
3415,9235,-0.024956862877118
9235,3415,0.024956862877118
3415,5419,-0.05366351203735712
5419,3415,0.05366351203735712
3415,3416,0.02387954818242357
3416,3415,-0.02387954818242357
3415,6124,-0.041615612001907394
6124,3415,0.041615612001907394
3415,3414,-0.008406210410579422
3414,3415,0.008406210410579422
3415,3415,0.0
3412,9249,-0.0540403405517914
9249,3412,0.0540403405517914
3412,1141,0.05071413628843594
1141,3412,-0.05071413628843594
3412,4132,-0.02644820374784748
4132,3412,0.02644820374784748
3412,9121,0.0168075337014871
9121,3412,-0.0168075337014871
3412,7129,0.01796220311751659
7129,3412,-0.01796220311751659
3412,9235,-0.0030749728589193957
9235,3412,0.0030749728589193957
3412,5419,-0.03178162201915852
5419,3412,0.03178162201915852
3412,3416,0.04576143820062217
3416,3412,-0.04576143820062217
3412,6124,-0.019733721983708794
6124,3412,0.019733721983708794
3412,3414,0.013475679607619181
3414,3412,-0.013475679607619181
3412,3415,0.021881890018198603
3415,3412,-0.021881890018198603
3412,3412,0.0
3413,9249,0.015134529773836385
9249,3413,-0.015134529773836385
3413,1141,0.11988900661406374
1141,3413,-0.11988900661406374
3413,4132,0.04272666657778031
4132,3413,-0.04272666657778031
3413,9121,0.08598240402711489
9121,3413,-0.08598240402711489
3413,7129,0.08713707344314438
7129,3413,-0.08713707344314438
3413,9235,0.0660998974667084
9235,3413,-0.0660998974667084
3413,5419,0.03739324830646928
5419,3413,-0.03739324830646928
3413,3416,0.11493630852624996
3416,3413,-0.11493630852624996
3413,6124,0.049441148341919
6124,3413,-0.049441148341919
3413,3414,0.08265054993324697
3414,3413,-0.08265054993324697
3413,3415,0.0910567603438264
3415,3413,-0.0910567603438264
3413,3412,0.06917487032562779
3412,3413,-0.06917487032562779
3413,3413,0.0
3411,9249,-0.06754823487337686
9249,3411,0.06754823487337686
3411,1141,0.03720624196685049
1141,3411,-0.03720624196685049
3411,4132,-0.03995609806943293
4132,3411,0.03995609806943293
3411,9121,0.0032996393799016492
9121,3411,-0.0032996393799016492
3411,7129,0.004454308795931137
7129,3411,-0.004454308795931137
3411,9235,-0.01658286718050485
9235,3411,0.01658286718050485
3411,5419,-0.04528951634074397
5419,3411,0.04528951634074397
3411,3416,0.03225354387903672
3416,3411,-0.03225354387903672
3411,6124,-0.03324161630529424
6124,3411,0.03324161630529424
3411,3414,-3.221471396627011e-05
3414,3411,3.221471396627011e-05
3411,3415,0.008373995696613151
3415,3411,-0.008373995696613151
3411,3412,-0.013507894321585452
3412,3411,0.013507894321585452
3411,3413,-0.08268276464721325
3413,3411,0.08268276464721325
3411,3411,0.0
5213,9249,-0.07475428124998562
9249,5213,0.07475428124998562
5213,1141,0.03000019559024173
1141,5213,-0.03000019559024173
5213,4132,-0.04716214444604169
4132,5213,0.04716214444604169
5213,9121,-0.00390640699670711
9121,5213,0.00390640699670711
5213,7129,-0.0027517375806776225
7129,5213,0.0027517375806776225
5213,9235,-0.023788913557113607
9235,5213,0.023788913557113607
5213,5419,-0.05249556271735273
5419,5213,0.05249556271735273
5213,3416,0.025047497502427962
3416,5213,-0.025047497502427962
5213,6124,-0.04044766268190301
6124,5213,0.04044766268190301
5213,3414,-0.007238261090575029
3414,5213,0.007238261090575029
5213,3415,0.0011679493200043923
3415,5213,-0.0011679493200043923
5213,3412,-0.02071394069819421
3412,5213,0.02071394069819421
5213,3413,-0.089888811023822
3413,5213,0.089888811023822
5213,3411,-0.00720604637660876
3411,5213,0.00720604637660876
5213,5213,0.0
2323,9249,-0.10390684761969737
9249,2323,0.10390684761969737
2323,1141,0.0008476292205299684
1141,2323,-0.0008476292205299684
2323,4132,-0.07631471081575346
4132,2323,0.07631471081575346
2323,9121,-0.03305897336641887
9121,2323,0.03305897336641887
2323,7129,-0.03190430395038939
7129,2323,0.03190430395038939
2323,9235,-0.05294147992682537
9235,2323,0.05294147992682537
2323,5419,-0.0816481290870645
5419,2323,0.0816481290870645
2323,3416,-0.004105068867283802
3416,2323,0.004105068867283802
2323,6124,-0.06960022905161477
6124,2323,0.06960022905161477
2323,3414,-0.036390827460286795
3414,2323,0.036390827460286795
2323,3415,-0.02798461704970737
3415,2323,0.02798461704970737
2323,3412,-0.04986650706790598
