SOCcode1,SOCcode2,angSep
3415,5419,0.102599789
5419,3415,0.102599789
3415,3416,0.045388294
3416,3415,0.045388294
3415,6124,0.066545986
6124,3415,0.066545986
3415,3414,0.105253509
3414,3415,0.105253509
3415,3415,0
3412,9249,0.127322538
9249,3412,0.127322538
3412,1141,0.043193673
1141,3412,0.043193673
3412,4132,0.038661991
4132,3412,0.038661991
3412,9121,0.202234396
9121,3412,0.202234396
3412,7129,0.040488243
7129,3412,0.040488243
3412,9235,0.135353918
9235,3412,0.135353918
3412,5419,0.125446641
5419,3412,0.125446641
3412,3416,0.03388813
3416,3412,0.03388813
3412,6124,0.034537063
6124,3412,0.034537063
3412,3414,0.146614047
3414,3412,0.146614047
3412,3415,0.046169346
3415,3412,0.046169346
3412,3412,0
3413,9249,0.124270322
9249,3413,0.124270322
3413,1141,0.122775544
1141,3413,0.122775544
3413,4132,0.126932675
4132,3413,0.126932675
3413,9121,0.200121173
9121,3413,0.200121173
3413,7129,0.068070594
7129,3413,0.068070594
3413,9235,0.160030899
9235,3413,0.160030899
3413,5419,0.175502823
5419,3413,0.175502823
3413,3416,0.094248509
3416,3413,0.094248509
3413,6124,0.076245197
6124,3413,0.076245197
3413,3414,0.053802951
3414,3413,0.053802951
3413,3415,0.068411335
3415,3413,0.068411335
3413,3412,0.066661211
3412,3413,0.066661211
3413,3413,0
3411,9249,0.170131858
9249,3411,0.170131858
3411,1141,0.087263809
1141,3411,0.087263809
3411,4132,0.115215389
4132,3411,0.115215389
3411,9121,0.10968854
9121,3411,0.10968854
3411,7129,0.082337089
7129,3411,0.082337089
3411,9235,0.077842368
9235,3411,0.077842368
3411,5419,0.042017676
5419,3411,0.042017676
3411,3416,0.041550695
3416,3411,0.041550695
3411,6124,0.094578736
6124,3411,0.094578736
3411,3414,0.121059763
3414,3411,0.121059763
3411,3415,0.056098597
3415,3411,0.056098597
3411,3412,0.075748357
3412,3411,0.075748357
3411,3413,0.089366443
3413,3411,0.089366443
3411,3411,0
5213,9249,0.198146669
9249,5213,0.198146669
5213,1141,0.175797003
1141,5213,0.175797003
5213,4132,0.234774755
4132,5213,0.234774755
5213,9121,0.036370796
9121,5213,0.036370796
5213,7129,0.179392406
7129,5213,0.179392406
5213,9235,0.051535718
9235,5213,0.051535718
5213,5419,0.117129223
5419,5213,0.117129223
5213,3416,0.191371046
3416,5213,0.191371046
5213,6124,0.203250957
6124,5213,0.203250957
5213,3414,0.196636992
3414,5213,0.196636992
5213,3415,0.201238858
3415,5213,0.201238858
5213,3412,0.215079612
3412,5213,0.215079612
5213,3413,0.216204014
3413,5213,0.216204014
5213,3411,0.108928472
3411,5213,0.108928472
5213,5213,0
2323,9249,0.184902224
9249,2323,0.184902224
2323,1141,0.044131484
1141,2323,0.044131484
2323,4132,0.051995907
4132,2323,0.051995907
2323,9121,0.251844363
9121,2323,0.251844363
2323,7129,0.063888966
7129,2323,0.063888966
2323,9235,0.176846303
9235,2323,0.176846303
2323,5419,0.158742201
5419,2323,0.158742201
2323,3416,0.055830828
3416,2323,0.055830828
2323,6124,0.064750846
6124,2323,0.064750846
2323,3414,0.19651174
3414,2323,0.19651174
2323,3415,0.091649604
3415,2323,0.091649604
2323,3412,0.038859268
3412,2323,0.038859268
2323,3413,0.123534846
3413,2323,0.123534846
2323,3411,0.116402772
3411,2323,0.116402772
2323,5213,0.244012673
5213,2323,0.244012673
2323,2323,0
